Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C2, C3, C4, C5, C6, C7, C8, C9",0603,17,C,
C18,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,C_Polarized_US,
D1,D_SOD-323_HandSoldering,1,D_Schottky,
J1,JST_PH_S9B-PH-K_1x09_P2.00mm_Horizontal,1,Conn_01x09_Socket,
J11,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Top_Bottom,
"J2, J3, J4, J5, J9",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,5,Conn_01x03_Socket,
"J6, J7, J8",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,3,Conn_01x04_Socket,
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0603,16,R,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,SW_DPST_x2,
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U3, U4, U5, U6, U7, U8, U9",TSSP_EDITED,16,TSSP58038,
U17,ESP32_devModule,1,~,
U18,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,
