Designator,Mid X,Mid Y,Rotation,Layer
C1,133.0,-120.75,270.0,top
C2,133.0,-109.3025,90.0,top
C3,155.426041,-120.25,0.0,top
C4,155.5,-133.5,0.0,top
D1,138.0,-101.5,270.0,top
F1,165.75,-114.5,270.0,top
J0,156.65,-90.75,0.0,top
J1,130.25,-132.75,270.0,top
J3,123.0,-131.5,90.0,top
J4,169.5,-123.73,270.0,top
J6,127.5,-114.5,180.0,top
J7,127.5,-107.5,180.0,top
J8,130.0,-100.5,180.0,top
M1,141.178,-114.822,90.0,top
R1,127.17,-125.5,180.0,top
R2,143.25,-102.79,90.0,top
RV1,147.5,-101.29,270.0,top
SW1,161.0,-103.25,180.0,top
SW2,141.25,-133.25,90.0,top
SW3,130.0,-120.75,180.0,top
